,Unnamed: 0,yr,mo,dy,hr,dck,id,lat,lon,w,d,lat_round,lon_round
6356,2880554,2021,2,19,16,992,WCE5063,41.4,288.6,7.2,30.0,41.5,288.5
6380,2909633,2021,2,19,20,992,WCE5063,40.8,288.3,11.3,40.0,40.5,288.5
6405,2938802,2021,2,20,0,992,WCE5063,40.2,287.9,10.3,20.0,40.5,287.5
6430,2968109,2021,2,20,4,992,WCE5063,39.6,287.5,9.8,360.0,39.5,287.5
6454,2997195,2021,2,20,8,992,WCE5063,38.9,287.1,13.9,340.0,38.5,287.5
6479,3025908,2021,2,20,12,992,WCE5063,38.2,286.7,9.8,350.0,38.5,286.5
6504,3054754,2021,2,20,16,992,WCE5063,37.6,286.3,10.3,310.0,37.5,286.5
6530,3083876,2021,2,20,20,992,WCE5063,36.9,285.9,14.9,300.0,36.5,285.5
6555,3113032,2021,2,21,0,992,WCE5063,36.2,285.5,13.4,310.0,36.5,285.5
6580,3142252,2021,2,21,4,992,WCE5063,35.6,285.1,13.4,330.0,35.5,285.5
6604,3171492,2021,2,21,8,992,WCE5063,35.0,284.8,11.8,350.0,35.5,284.5
6629,3200378,2021,2,21,12,992,WCE5063,34.4,284.6,11.8,350.0,34.5,284.5
6655,3229358,2021,2,21,16,992,WCE5063,34.2,284.2,11.3,10.0,34.5,284.5
6678,3258525,2021,2,21,20,992,WCE5063,33.9,283.5,8.2,30.0,33.5,283.5
6703,3287888,2021,2,22,0,992,WCE5063,33.5,282.8,6.2,60.0,33.5,282.5
6728,3317471,2021,2,22,4,992,WCE5063,33.1,282.0,10.3,80.0,33.5,282.5
6750,3346900,2021,2,22,8,992,WCE5063,32.7,281.4,11.8,120.0,32.5,281.5
6774,3375933,2021,2,22,12,992,WCE5063,32.3,280.7,5.7,210.0,32.5,280.5
6799,3404927,2021,2,22,16,992,WCE5063,31.8,280.2,6.7,200.0,31.5,280.5
6823,3434213,2021,2,22,20,992,WCE5063,31.3,279.8,10.3,200.0,31.5,279.5
6848,3463528,2021,2,23,0,992,WCE5063,30.7,279.6,6.7,260.0,30.5,279.5
6873,3492883,2021,2,23,4,992,WCE5063,30.0,279.6,3.6,260.0,30.5,279.5
6897,3522219,2021,2,23,8,992,WCE5063,29.3,279.6,7.7,300.0,29.5,279.5
6921,3551269,2021,2,23,12,992,WCE5063,28.6,279.7,4.6,310.0,28.5,279.5
6947,3580198,2021,2,23,16,992,WCE5063,28.0,279.8,5.1,340.0,28.5,279.5
6971,3609515,2021,2,23,20,992,WCE5063,27.6,279.9,9.8,10.0,27.5,279.5
6996,3638890,2021,2,24,0,992,WCE5063,27.2,280.0,6.7,50.0,27.5,280.5
7021,3668349,2021,2,24,4,992,WCE5063,26.9,280.0,6.2,80.0,26.5,280.5
7045,3697793,2021,2,24,8,992,WCE5063,26.5,280.0,6.2,90.0,26.5,280.5
7070,3726775,2021,2,24,12,992,WCE5063,26.2,280.0,9.3,90.0,26.5,280.5
7094,3755829,2021,2,24,16,992,WCE5063,26.1,279.9,2.1,340.0,26.5,279.5
7117,3780895,2021,2,24,20,992,WCE5063,26.1,279.9,5.1,100.0,26.5,279.5
7140,3810404,2021,2,25,0,992,WCE5063,26.1,279.9,3.6,120.0,26.5,279.5
7164,3839870,2021,2,25,4,992,WCE5063,26.1,279.9,3.1,160.0,26.5,279.5
7187,3869429,2021,2,25,8,992,WCE5063,26.1,279.9,1.0,250.0,26.5,279.5
7211,3898448,2021,2,25,12,992,WCE5063,26.1,279.9,1.0,260.0,26.5,279.5
7236,3927517,2021,2,25,16,992,WCE5063,26.1,279.9,1.5,300.0,26.5,279.5
7260,3956887,2021,2,25,20,992,WCE5063,26.1,279.9,3.6,100.0,26.5,279.5
7284,3986381,2021,2,26,0,992,WCE5063,26.1,279.9,3.1,20.0,26.5,279.5
7307,4015746,2021,2,26,4,992,WCE5063,26.1,279.9,3.1,80.0,26.5,279.5
7330,4044967,2021,2,26,8,992,WCE5063,26.1,279.9,3.6,90.0,26.5,279.5
7354,4073992,2021,2,26,12,992,WCE5063,26.1,279.9,2.1,50.0,26.5,279.5
7379,4103045,2021,2,26,16,992,WCE5063,26.1,279.9,4.6,130.0,26.5,279.5
7401,4132544,2021,2,26,20,992,WCE5063,26.1,279.9,4.6,110.0,26.5,279.5
7422,4162005,2021,2,27,0,992,WCE5063,26.1,279.9,4.1,100.0,26.5,279.5
7442,4191376,2021,2,27,4,992,WCE5063,26.1,279.9,8.2,100.0,26.5,279.5
7462,4220792,2021,2,27,8,992,WCE5063,26.1,279.9,7.7,120.0,26.5,279.5
7482,4249449,2021,2,27,12,992,WCE5063,26.1,279.9,8.2,130.0,26.5,279.5
7502,4278541,2021,2,27,16,992,WCE5063,26.1,280.1,7.7,130.0,26.5,280.5
7522,4307934,2021,2,27,20,992,WCE5063,26.2,280.9,6.7,110.0,26.5,280.5
7546,4337466,2021,2,28,0,992,WCE5063,26.2,281.6,6.7,110.0,26.5,281.5
7570,4366551,2021,2,28,4,992,WCE5063,26.1,282.0,8.7,100.0,26.5,282.5
7594,4395966,2021,2,28,8,992,WCE5063,25.8,282.7,8.2,100.0,25.5,282.5
